id,name,population,new_case,new_death,new_recovered,new_active,total_case,total_death,total_active,total_recovered,death_yesterday,case_yesterday,recovered_yesterday,death_average_7days,case_average_7days,percent_case_population,last_updated
1,Hà Nội,8053664,0,0,0,0,70970,200,0,0,17,2830,0,6.0,2340.57,0.8812138177107951,11/01/2022 17:23:37
2,TP HCM,8993082,0,0,0,0,509616,19736,0,0,17,437,0,14.14,393.0,5.66675584632721,11/01/2022 17:23:37
28,Thanh Hóa,3640128,0,0,0,0,10503,13,0,0,0,297,0,0.0,246.43,0.288533809800094,11/01/2022 17:23:37
29,Nghệ An,3327791,0,0,0,0,9142,36,0,0,0,124,0,0.14,110.0,0.27471677157609903,11/01/2022 17:23:37
48,Đồng Nai,3097107,0,0,0,0,98829,1554,0,0,2,46,0,13.43,86.86,3.191010191123523,11/01/2022 17:23:37
44,Bình Dương,2426561,0,0,0,0,291612,3349,0,0,7,55,0,8.29,72.29,12.017501311526889,11/01/2022 17:23:37
51,An Giang,1908352,0,0,0,0,34508,1165,0,0,28,126,0,16.57,148.43,1.808261788181635,11/01/2022 17:23:37
21,Hải Dương,1892254,0,0,0,0,5659,3,0,0,1,181,0,0.0,172.71,0.29906133108980004,11/01/2022 17:23:37
40,Đắk Lắk,1869322,0,0,0,0,12778,71,0,0,0,0,0,0.5700000000000001,107.71,0.683563345426844,11/01/2022 17:23:37
26,Thái Bình,1860447,0,0,0,0,3719,0,0,0,0,83,0,0.0,114.57,0.199898196508688,11/01/2022 17:23:37
3,Hải Phòng,1837173,0,0,0,0,17789,12,0,0,2,592,0,0.43,669.57,0.96828115806187,11/01/2022 17:23:37
18,Bắc Giang,1803950,0,0,0,0,9342,14,0,0,0,128,0,0.0,142.57,0.5178635771501421,11/01/2022 17:23:37
25,Nam Định,1780393,0,0,0,0,4689,4,0,0,0,161,0,0.0,113.57,0.26336881800815803,11/01/2022 17:23:37
53,Tiền Giang,1764185,0,0,0,0,34672,1072,0,0,12,34,0,11.0,69.57,1.9653267656169842,11/01/2022 17:23:37
54,Kiên Giang,1723067,0,0,0,0,31511,620,0,0,0,100,0,7.29,134.57,1.828773924635548,11/01/2022 17:23:37
49,Long An,1688547,0,0,0,0,40845,978,0,0,0,22,0,9.43,34.0,2.418943624311316,11/01/2022 17:23:37
50,Đồng Tháp,1599504,0,0,0,0,45818,705,0,0,16,96,0,10.57,109.29,2.864512999029699,11/01/2022 17:23:37
38,Gia Lai,1513847,0,0,0,0,8359,22,0,0,0,142,0,0.29,79.29,0.55216940681588,11/01/2022 17:23:37
34,Quảng Nam,1495812,0,0,0,0,8018,22,0,0,1,155,0,0.29,142.71,0.536029928894807,11/01/2022 17:23:37
37,Bình Định,1486918,0,0,0,0,22219,75,0,0,2,609,0,2.0,566.57,1.494298945873276,11/01/2022 17:23:37
15,Phú Thọ,1463726,0,0,0,0,3986,3,0,0,0,68,0,0.0,87.43,0.272318726318996,11/01/2022 17:23:37
19,Bắc Ninh,1368840,0,0,0,0,15271,19,0,0,0,372,0,0.14,314.14,1.115616142134946,11/01/2022 17:23:37
17,Quảng Ninh,1320324,0,0,0,0,6250,4,0,0,0,294,0,0.43,280.71,0.47336865799606703,11/01/2022 17:23:37
42,Lâm Đồng,1296606,0,0,0,0,11574,31,0,0,0,227,0,0.43,199.14,0.8926381645619401,11/01/2022 17:23:37
30,Hà Tĩnh,1288866,0,0,0,0,1862,5,0,0,0,47,0,0.0,27.43,0.14446808279526302,11/01/2022 17:23:37
56,Bến Tre,1288463,0,0,0,0,29341,251,0,0,0,370,0,5.57,363.29,2.277209357195356,11/01/2022 17:23:37
12,Thái Nguyên,1286751,0,0,0,0,3319,2,0,0,0,199,0,0.14,157.0,0.257936461677511,11/01/2022 17:23:37
